Truck, 1234, GMC, Red, Gas, 24000, 2016
Car, 1235, Toyota, Green, Hybrid, 27000, 2015
Car, 1236, Toyota, Red, Gas, 19000, 2015
Car, 1237, Toyota, Blue, Gas, 21000, 2014
Motorcycle, 1238, Honda, Blue, Hybrid, 17000, 2016
Truck, 1239, Honda, Blue, Hybrid, 17000, 2016
Car, 1240, Hyundai, Red, Gas, 17000, 2014
Car, 1241, Tesla, Blue, Electric, 85000, 2016
Bicycle, 1242, Cervelo, White, None, 2000, 2015
Bicycle, 1243, Huffy, White, None, 150, 2014
Bicycle, 1244, Trek, Orange, None, 1200, 2016
Car, 1245, Hyundai, White, Electric, 25000, 2009
Car,1246,Ford Pinto,Light Blue,Gas,1000,1984
Car,1247,Chevy Vega,Dark Blue,Gas,500,1981
Car,1248,AMC Hornet,Tan,Gas,100,1977
Car,1249,Yugo,Gray,None, 10, 1985
Car,1250, Bugatti Veyron, Black/Red,None, 2500000,2016
Car,1251,Tesla model-S,Red,None, 84000, 2016
Car, 1252, Honda, Blue, Gas, 5000, 2002
Car, 1253, Honda, Silver, Gas, 13000, 2015
Car, 1254, Hyundai, Gold, Gas, 13000, 2014
Car, 1255, Subaru, Blue, Gas, 13000, 2014